prompt,status,category,notes
Alive,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Cheap,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Clean,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Curved,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Dead,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Deep,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Dirty,✓ COMPLETED (After retries),completed_with_retries,User clicked Start button
Expensive,✓ COMPLETED (After retries),completed_with_retries,User clicked Start button
Female,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Flat,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Happy,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Hard,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Heavy,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
High,✓ COMPLETED (After retries),completed_with_retries,User clicked Start button
Light,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Loose,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Loud,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Low,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Male,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Mean,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Poor,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Quiet,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Rich,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Shallow,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Soft,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Strong,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Thick,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Thin,✓ COMPLETED (After retries),completed_with_retries,User clicked Start button
Tight,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
Weak,✓ COMPLETED (First attempt),completed_first_try,User clicked Start button
